episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
nan,nan,nan,nan,0,0,4,0,0,32,32,32,32,32,32,2.3159717009074323,2.3159717009074323,32,32,32,False,0,1,295db_00000,2024-08-12_21-38-05,1723462685,13.822702169418335,13.822702169418335,14136,DELL,127.0.0.1,13.822702169418335,1,32,32,32,32,nan,nan,nan,nan,0,0,[],[],13817.095,13797.194,0.0,0.0,0.0,0.0,19.901,32,32,32,32,27.335,90.99000000000001,[],[],32.0,1.0,0.0,0.0,40.0,0.01,0.01,51.501678466796875,-1046.110595703125,8182.177734375
-76.88031561703922,-89.21592096965999,-83.05345742578022,33.5,4,0,4,0,0,160,160,160,160,128,128,9.774190529739945,9.774190529739945,160,128,160,False,4,2,295db_00000,2024-08-12_21-38-18,1723462698,13.10306692123413,26.925769090652466,14136,DELL,127.0.0.1,26.925769090652466,2,160,160,160,160,-76.88031561703922,-89.21592096965999,-83.05345742578022,33.5,4,0,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999]","[33, 33, 34, 34]",5382.562,5374.34,0.0,0.0,2.651,12069.94,5.571,160,160,160,160,24.905555555555555,91.36666666666666,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999]","[33, 33, 34, 34]",32.0,5.0,4.0,0.0,40.0,0.01,0.01,29.9578857421875,34.183990478515625,17.417795181274414
3.2808817944373407,-89.21592096965999,-40.585050801260756,29.25,4,0,4,0,0,256,256,256,256,96,96,7.414359603448603,7.414359603448603,256,96,256,False,8,3,295db_00000,2024-08-12_21-38-31,1723462711,12.952510833740234,39.8782799243927,14136,DELL,127.0.0.1,39.8782799243927,3,256,256,256,256,3.2808817944373407,-89.21592096965999,-40.585050801260756,29.25,4,0,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493]","[33, 33, 34, 34, 25, 25, 25, 25]",4982.582,4972.977,0.141,227343.177,3.56,8988.371,5.904,256,256,256,256,24.747368421052627,91.39999999999999,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493]","[33, 33, 34, 34, 25, 25, 25, 25]",32.0,8.0,7.0,0.0,40.0,0.01,0.01,32.163368225097656,-31.041261672973633,23.602109909057617
3.2808817944373407,-89.21592096965999,-26.909271316792005,27.833333333333332,4,0,4,0,0,352,352,352,352,96,96,6.758804408259981,6.758804408259981,352,96,352,False,12,4,295db_00000,2024-08-12_21-38-45,1723462725,14.209705352783203,54.0879852771759,14136,DELL,127.0.0.1,54.0879852771759,4,352,352,352,352,3.2808817944373407,-89.21592096965999,-26.909271316792005,27.833333333333332,4,0,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25]",4024.726,4016.132,0.113,284178.971,4.148,7713.796,4.332,352,352,352,352,26.68,91.11999999999999,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25]",32.0,11.0,10.0,0.0,40.0,0.01,0.01,24.466533660888672,-31.012989044189453,40.97758102416992
3.2808817944373407,-89.21592096965999,-20.101854633516066,27.125,4,0,4,0,0,448,448,448,448,96,96,6.965212907135444,6.965212907135444,448,96,448,False,16,5,295db_00000,2024-08-12_21-38-59,1723462739,13.798404932022095,67.886390209198,14136,DELL,127.0.0.1,67.886390209198,5,448,448,448,448,3.2808817944373407,-89.21592096965999,-20.101854633516066,27.125,4,0,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",5394.145,5384.117,0.248,129018.291,4.365,7331.217,5.407,448,448,448,448,26.621052631578948,91.16842105263157,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",32.0,14.0,13.0,0.0,40.0,0.01,0.01,17.66278648376465,1.685004711151123,2.905019521713257
3.2808817944373407,-89.21592096965999,-16.06456258601674,26.7,4,0,4,0,0,544,544,544,544,96,96,6.934252901164971,6.934252901164971,544,96,544,False,20,6,295db_00000,2024-08-12_21-39-13,1723462753,13.850884199142456,81.73727440834045,14136,DELL,127.0.0.1,81.73727440834045,6,544,544,544,544,3.2808817944373407,-89.21592096965999,-16.06456258601674,26.7,4,0,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203, 0.04798983291429756, 0.20418638778859668, 0.04426578519450386, 0.04198041002480395]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",5468.328,5460.969,0.135,236298.817,3.206,9980.646,3.909,544,544,544,544,27.331578947368417,91.19473684210526,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203, 0.04798983291429756, 0.20418638778859668, 0.04426578519450386, 0.04198041002480395]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",32.0,17.0,16.0,0.0,40.0,0.01,0.01,0.9439516067504883,0.13146710395812988,15.380842208862305
3.2808817944373407,-89.21592096965999,-13.383540112726395,26.416666666666668,4,0,4,0,0,640,640,640,640,96,96,7.569871798800508,7.569871798800508,640,96,640,False,24,7,295db_00000,2024-08-12_21-39-25,1723462765,12.687852621078491,94.42512702941895,14136,DELL,127.0.0.1,94.42512702941895,7,640,640,640,640,3.2808817944373407,-89.21592096965999,-13.383540112726395,26.416666666666668,4,0,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203, 0.04798983291429756, 0.20418638778859668, 0.04426578519450386, 0.04198041002480395, 0.026793981924539693, 0.017561302170360463, 0.02035911859985468, 0.021574612206561213]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",5444.531,5436.749,0.235,135889.165,3.127,10231.959,4.207,640,640,640,640,24.955555555555552,91.21111111111112,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203, 0.04798983291429756, 0.20418638778859668, 0.04426578519450386, 0.04198041002480395, 0.026793981924539693, 0.017561302170360463, 0.02035911859985468, 0.021574612206561213]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",32.0,20.0,19.0,0.0,40.0,0.01,0.01,0.06997130811214447,-0.004024926107376814,7.102546215057373
3.2808817944373407,-89.21592096965999,-11.469369823896733,26.214285714285715,4,0,4,0,0,736,736,736,736,96,96,6.04942357254151,6.04942357254151,736,96,736,False,28,8,295db_00000,2024-08-12_21-39-41,1723462781,15.87728762626648,110.30241465568542,14136,DELL,127.0.0.1,110.30241465568542,8,736,736,736,736,3.2808817944373407,-89.21592096965999,-11.469369823896733,26.214285714285715,4,0,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203, 0.04798983291429756, 0.20418638778859668, 0.04426578519450386, 0.04198041002480395, 0.026793981924539693, 0.017561302170360463, 0.02035911859985468, 0.021574612206561213, 0.018322317153424597, 0.013483953078986647, 0.01507315287302313, 0.015728213219518675]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",5610.266,5601.938,0.1,319794.444,3.22,9937.711,4.704,736,736,736,736,18.38695652173913,90.95217391304347,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203, 0.04798983291429756, 0.20418638778859668, 0.04426578519450386, 0.04198041002480395, 0.026793981924539693, 0.017561302170360463, 0.02035911859985468, 0.021574612206561213, 0.018322317153424597, 0.013483953078986647, 0.01507315287302313, 0.015728213219518675]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",32.0,23.0,22.0,0.0,40.0,0.01,0.01,0.017282521352171898,-0.0005284008802846074,1.2538549900054932
3.2808817944373407,-89.21592096965999,-10.703972677074347,26.133333333333333,2,0,4,0,0,832,832,832,832,96,96,8.117645884777193,8.117645884777193,832,96,832,False,30,9,295db_00000,2024-08-12_21-39-53,1723462793,11.83209228515625,122.13450694084167,14136,DELL,127.0.0.1,122.13450694084167,9,832,832,832,832,3.2808817944373407,-89.21592096965999,-10.703972677074347,26.133333333333333,2,0,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203, 0.04798983291429756, 0.20418638778859668, 0.04426578519450386, 0.04198041002480395, 0.026793981924539693, 0.017561302170360463, 0.02035911859985468, 0.021574612206561213, 0.018322317153424597, 0.013483953078986647, 0.01507315287302313, 0.015728213219518675, 0.0128877702752977, 0.010286986602809777]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",5416.402,5404.471,0.396,80737.324,4.73,6765.109,6.601,832,832,832,832,15.98125,91.4125,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203, 0.04798983291429756, 0.20418638778859668, 0.04426578519450386, 0.04198041002480395, 0.026793981924539693, 0.017561302170360463, 0.02035911859985468, 0.021574612206561213, 0.018322317153424597, 0.013483953078986647, 0.01507315287302313, 0.015728213219518675, 0.0128877702752977, 0.010286986602809777]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",32.0,26.0,25.0,0.0,40.0,0.01,0.01,0.007065244019031525,0.00026920842356048524,4.157365798950195
3.2808817944373407,-89.21592096965999,-10.034263918595313,26.0625,2,0,4,0,0,864,864,864,864,32,32,2.611576504006139,2.611576504006139,864,32,864,True,32,10,295db_00000,2024-08-12_21-40-05,1723462805,12.260131597518921,134.3946385383606,14136,DELL,127.0.0.1,134.3946385383606,10,864,864,864,864,3.2808817944373407,-89.21592096965999,-10.034263918595313,26.0625,2,0,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203, 0.04798983291429756, 0.20418638778859668, 0.04426578519450386, 0.04198041002480395, 0.026793981924539693, 0.017561302170360463, 0.02035911859985468, 0.021574612206561213, 0.018322317153424597, 0.013483953078986647, 0.01507315287302313, 0.015728213219518675, 0.0128877702752977, 0.010286986602809777, 0.011188658814604948, 0.011546258365861648]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",5263.036,5251.094,0.396,80737.324,4.77,6708.069,6.571,864,864,864,864,15.038888888888891,91.62222222222222,"[-76.93806801160035, -76.88031561703922, -89.17952510482134, -89.21592096965999, 1.5950219154829846, 3.2808817944373407, 1.3845335856495786, 1.27298599746493, 0.3725955260850579, 0.6409987327875204, 0.36512582344492406, 0.39043052626446095, 0.15979264599375473, 0.5199304748652339, 0.3158257262301441, 0.2860328181579203, 0.04798983291429756, 0.20418638778859668, 0.04426578519450386, 0.04198041002480395, 0.026793981924539693, 0.017561302170360463, 0.02035911859985468, 0.021574612206561213, 0.018322317153424597, 0.013483953078986647, 0.01507315287302313, 0.015728213219518675, 0.0128877702752977, 0.010286986602809777, 0.011188658814604948, 0.011546258365861648]","[33, 33, 34, 34, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",32.0,27.0,26.0,0.0,31.451374053955078,0.01,0.01,0.005372264422476292,7.190214819274843e-05,0.3229169249534607
